Disease,Severity,Weight,Age,Breed,Temperature,Previous_Disease,Treatment,Feed_Adjustment_Percent
FMD,0,450.5,54,AFS,38.6,None,Supportive Care Only,-3.7
Pediculosis,2,533.3,68,AFS,40.3,None,Antiparasitic + Monitoring,-12.7
Dermatophilosis,1,435.7,71,AFS,39.4,Mastitis,Antibiotics + Isolation,-11.4
Mastitis,1,518.9,15,AFS,39.6,None,Anti-inflammatory + Rest,-12.3
Pediculosis,1,452.8,85,AFS,39.5,None,Antiparasitic + Monitoring,-9.8
FMD,2,492.6,15,AFS,40.4,None,Antiviral + Quarantine,-26.2
Ringworm,1,511.1,33,AFS,39.1,None,Topical Treatment + Monitoring,-7.5
Lumpy Skin,2,355.2,71,AFS,40.1,None,Antiviral + Quarantine,-23.3
FMD,2,386.2,94,AFS,41.3,None,Antiviral + Quarantine,-25.0
Pediculosis,1,382.0,36,AFS,39.6,Dermatophilosis,Antiparasitic + Monitoring,-7.2
Mastitis,0,353.3,89,AFS,38.6,None,Anti-inflammatory + Rest,-7.7
FMD,0,517.0,56,AFS,38.7,None,Supportive Care Only,-5.9
Dermatophilosis,2,433.9,65,AFS,40.2,None,Antibiotics + Isolation,-20.0
FMD,0,466.7,17,AFS,38.9,None,Supportive Care Only,-6.0
Dermatophilosis,1,429.5,13,AFS,39.0,None,Antibiotics + Isolation,-11.7
Ringworm,2,424.9,57,AFS,40.1,None,Antifungal + Topical Care,-10.4
FMD,2,394.9,47,AFS,41.2,Pediculosis,Antiviral + Quarantine,-26.6
Healthy,0,360.1,58,AFS,38.7,None,No Treatment Required,0.0
Ringworm,0,482.6,63,AFS,38.7,None,Topical Treatment + Monitoring,-3.7
Healthy,0,488.8,63,AFS,38.4,None,No Treatment Required,0.0
Ringworm,0,532.2,40,AFS,38.6,None,Topical Treatment + Monitoring,-3.6
Mastitis,0,384.3,65,AFS,38.5,None,Anti-inflammatory + Rest,-5.2
Lumpy Skin,0,545.2,33,AFS,38.7,None,Topical Treatment + Monitoring,-6.5
FMD,1,398.1,90,AFS,39.7,Contagious,Antibiotics + Isolation,-13.7
Dermatophilosis,0,481.3,86,AFS,38.7,Contagious,Topical Treatment + Monitoring,-5.9
Dermatophilosis,0,438.9,18,AFS,38.6,None,Topical Treatment + Monitoring,-5.6
FMD,1,523.2,94,AFS,39.8,FMD,Antibiotics + Isolation,-15.3
Dermatophilosis,1,416.1,28,AFS,39.4,None,Antibiotics + Isolation,-13.9
Pediculosis,1,514.7,15,AFS,39.5,None,Antiparasitic + Monitoring,-9.0
Contagious,2,548.4,76,AFS,40.9,FMD,Antibiotics + Isolation,-20.8
Dermatophilosis,2,370.6,37,AFS,40.3,None,Antibiotics + Isolation,-16.1
FMD,0,485.3,65,AFS,38.8,Contagious,Supportive Care Only,-4.7
Mastitis,0,378.7,21,AFS,38.8,None,Anti-inflammatory + Rest,-5.5
Contagious,1,400.2,91,AFS,39.2,None,Antibiotics + Isolation,-13.2
FMD,1,418.3,77,AFS,39.3,None,Antibiotics + Isolation,-16.9
Dermatophilosis,0,401.7,31,AFS,38.7,FMD,Topical Treatment + Monitoring,-4.3
Healthy,0,384.9,38,AFS,38.6,Lumpy Skin,No Treatment Required,0.0
Dermatophilosis,0,528.1,39,AFS,38.6,None,Topical Treatment + Monitoring,-5.5
Mastitis,0,470.2,25,AFS,38.9,Mastitis,Anti-inflammatory + Rest,-7.4
Mastitis,1,408.7,89,AFS,39.6,Ringworm,Anti-inflammatory + Rest,-11.6
Ringworm,1,485.9,29,AFS,39.5,None,Topical Treatment + Monitoring,-7.0
Ringworm,0,482.4,89,AFS,38.7,None,Topical Treatment + Monitoring,-2.3
Contagious,1,461.3,82,AFS,39.1,Lumpy Skin,Antibiotics + Isolation,-12.3
Mastitis,2,480.0,38,AFS,40.5,Dermatophilosis,Antibiotics + Isolation,-18.9
Pediculosis,2,352.7,28,AFS,40.7,None,Antiparasitic + Monitoring,-13.6
Ringworm,2,541.5,46,AFS,41.3,None,Antifungal + Topical Care,-8.8
Pediculosis,0,471.4,83,AFS,38.5,None,Antiparasitic + Monitoring,-5.6
FMD,2,545.4,86,AFS,40.7,Mastitis,Antiviral + Quarantine,-23.0
Mastitis,1,414.0,64,AFS,39.2,None,Anti-inflammatory + Rest,-11.3
Mastitis,1,488.9,44,AFS,39.5,None,Anti-inflammatory + Rest,-11.7
Healthy,0,464.5,31,AFS,38.7,Mastitis,No Treatment Required,0.0
Mastitis,2,368.5,54,AFS,40.1,None,Antibiotics + Isolation,-20.9
Healthy,0,448.4,54,AFS,38.4,None,No Treatment Required,0.0
Dermatophilosis,1,406.5,34,AFS,39.5,None,Antibiotics + Isolation,-13.7
FMD,2,545.1,90,AFS,40.7,None,Antiviral + Quarantine,-24.4
FMD,2,454.6,30,AFS,41.0,None,Antiviral + Quarantine,-25.8
Dermatophilosis,0,545.4,83,AFS,38.8,Dermatophilosis,Topical Treatment + Monitoring,-5.5
FMD,2,549.3,23,AFS,41.0,None,Antiviral + Quarantine,-25.6
Lumpy Skin,1,496.5,91,AFS,39.0,FMD,Antibiotics + Isolation,-14.2
Contagious,2,475.6,60,AFS,40.9,None,Antibiotics + Isolation,-22.5
Contagious,0,374.1,39,AFS,38.8,None,Antibiotics + Isolation,-6.7
Lumpy Skin,0,451.2,89,AFS,38.5,None,Topical Treatment + Monitoring,-6.6
Mastitis,0,430.1,90,AFS,38.7,Ringworm,Anti-inflammatory + Rest,-8.0
FMD,1,438.4,49,AFS,39.4,None,Antibiotics + Isolation,-14.1
Contagious,2,380.3,21,AFS,40.2,None,Antibiotics + Isolation,-23.6
FMD,0,375.4,64,AFS,38.8,None,Supportive Care Only,-4.5
Mastitis,0,460.5,61,AFS,38.9,None,Anti-inflammatory + Rest,-6.6
FMD,0,456.0,54,AFS,38.8,Pediculosis,Supportive Care Only,-5.4
Healthy,0,525.8,58,AFS,38.7,None,No Treatment Required,0.0
Lumpy Skin,0,537.9,59,AFS,38.8,Lumpy Skin,Topical Treatment + Monitoring,-6.7
FMD,1,533.2,47,AFS,39.6,None,Antibiotics + Isolation,-13.2
Contagious,0,547.5,17,AFS,38.9,None,Antibiotics + Isolation,-8.4
Lumpy Skin,1,549.1,41,AFS,39.5,None,Antibiotics + Isolation,-13.8
Mastitis,1,418.4,32,AFS,39.0,None,Anti-inflammatory + Rest,-11.7
Lumpy Skin,1,478.8,55,AFS,39.0,None,Antibiotics + Isolation,-13.4
Healthy,0,500.4,69,AFS,38.5,None,No Treatment Required,0.0
Dermatophilosis,1,389.9,79,AFS,39.3,FMD,Antibiotics + Isolation,-11.8
Healthy,0,537.1,53,AFS,38.7,None,No Treatment Required,0.0
Pediculosis,0,523.3,50,AFS,38.8,None,Antiparasitic + Monitoring,-3.5
Contagious,0,513.9,80,AFS,38.8,FMD,Antibiotics + Isolation,-7.9
Dermatophilosis,1,424.8,82,AFS,39.4,None,Antibiotics + Isolation,-13.3
Healthy,0,398.8,46,AFS,38.3,None,No Treatment Required,0.0
Lumpy Skin,2,526.7,19,AFS,41.2,None,Antiviral + Quarantine,-23.0
Lumpy Skin,0,460.7,27,AFS,38.8,Mastitis,Topical Treatment + Monitoring,-4.8
Lumpy Skin,0,533.5,82,AFS,38.5,None,Topical Treatment + Monitoring,-4.8
Lumpy Skin,1,416.1,91,AFS,39.7,None,Antibiotics + Isolation,-16.7
Healthy,0,546.8,71,AFS,38.4,None,No Treatment Required,0.0
Contagious,0,361.8,17,AFS,38.8,Pediculosis,Antibiotics + Isolation,-9.4
Lumpy Skin,0,407.2,70,AFS,38.5,Contagious,Topical Treatment + Monitoring,-4.4
FMD,1,432.7,95,AFS,39.5,None,Antibiotics + Isolation,-13.0
Ringworm,2,469.9,91,AFS,41.4,None,Antifungal + Topical Care,-10.0
Lumpy Skin,0,385.8,93,AFS,38.8,None,Topical Treatment + Monitoring,-5.1
Pediculosis,1,437.4,66,AFS,39.6,Ringworm,Antiparasitic + Monitoring,-9.0
Mastitis,2,496.0,76,AFS,40.5,Ringworm,Antibiotics + Isolation,-21.3
Mastitis,0,512.1,71,AFS,38.8,Lumpy Skin,Anti-inflammatory + Rest,-4.8
Lumpy Skin,0,541.4,51,AFS,38.8,None,Topical Treatment + Monitoring,-4.9
Mastitis,0,476.6,46,AFS,38.7,None,Anti-inflammatory + Rest,-7.4
Pediculosis,1,436.8,36,AFS,39.3,None,Antiparasitic + Monitoring,-8.8
Pediculosis,1,433.7,41,AFS,39.8,None,Antiparasitic + Monitoring,-9.0
Lumpy Skin,1,460.7,56,AFS,39.2,None,Antibiotics + Isolation,-13.7
FMD,0,506.0,95,AFS,38.8,None,Supportive Care Only,-4.0
Contagious,1,497.0,56,AFS,39.4,None,Antibiotics + Isolation,-15.0
Lumpy Skin,0,488.8,77,AFS,38.6,None,Topical Treatment + Monitoring,-5.0
Contagious,0,368.3,86,AFS,38.8,Pediculosis,Antibiotics + Isolation,-9.3
FMD,0,356.2,75,AFS,38.8,None,Supportive Care Only,-4.9
Mastitis,1,405.1,60,AFS,39.7,None,Anti-inflammatory + Rest,-10.4
Dermatophilosis,1,511.7,36,AFS,39.6,Pediculosis,Antibiotics + Isolation,-11.7
FMD,0,386.2,66,AFS,38.7,None,Supportive Care Only,-4.6
Lumpy Skin,1,473.1,59,AFS,39.1,Dermatophilosis,Antibiotics + Isolation,-13.9
Contagious,0,406.7,84,AFS,38.8,None,Antibiotics + Isolation,-6.5
Lumpy Skin,1,536.6,27,AFS,39.3,None,Antibiotics + Isolation,-14.2
Lumpy Skin,1,482.6,13,AFS,39.7,None,Antibiotics + Isolation,-14.1
Lumpy Skin,0,526.0,74,AFS,38.6,Mastitis,Topical Treatment + Monitoring,-6.0
FMD,2,354.9,47,AFS,40.7,Contagious,Antiviral + Quarantine,-26.0
Ringworm,0,452.4,67,AFS,39.0,None,Topical Treatment + Monitoring,-1.8
Lumpy Skin,2,410.7,62,AFS,41.3,None,Antiviral + Quarantine,-24.4
Healthy,0,428.7,92,AFS,38.4,Ringworm,No Treatment Required,0.0
Dermatophilosis,1,391.4,81,AFS,39.3,None,Antibiotics + Isolation,-13.2
Healthy,0,499.0,94,AFS,38.5,None,No Treatment Required,0.0
Mastitis,0,506.7,79,AFS,38.9,None,Anti-inflammatory + Rest,-4.9
Mastitis,0,541.3,18,AFS,38.5,FMD,Anti-inflammatory + Rest,-4.4
Mastitis,0,399.7,91,AFS,38.9,Mastitis,Anti-inflammatory + Rest,-6.8
Lumpy Skin,2,507.0,47,AFS,40.0,Contagious,Antiviral + Quarantine,-21.2
Lumpy Skin,0,360.8,57,AFS,38.8,None,Topical Treatment + Monitoring,-6.5
Dermatophilosis,0,385.4,72,AFS,38.6,Ringworm,Topical Treatment + Monitoring,-5.7
Ringworm,0,538.7,62,AFS,39.0,None,Topical Treatment + Monitoring,-1.6
Contagious,2,469.6,83,AFS,41.0,None,Antibiotics + Isolation,-20.5
Mastitis,0,521.9,12,AFS,38.7,Lumpy Skin,Anti-inflammatory + Rest,-6.5
Contagious,2,485.3,44,AFS,40.1,Dermatophilosis,Antibiotics + Isolation,-22.0
Pediculosis,1,508.6,59,AFS,39.7,Dermatophilosis,Antiparasitic + Monitoring,-9.6
Healthy,0,443.8,72,AFS,38.5,Mastitis,No Treatment Required,0.0
Ringworm,0,472.4,89,AFS,38.7,None,Topical Treatment + Monitoring,-3.6
Dermatophilosis,1,404.1,14,AFS,39.5,Mastitis,Antibiotics + Isolation,-13.5
Ringworm,0,377.9,24,AFS,39.0,None,Topical Treatment + Monitoring,-3.6
Contagious,0,383.5,82,AFS,38.9,None,Antibiotics + Isolation,-8.0
Mastitis,0,429.4,13,AFS,38.5,Contagious,Anti-inflammatory + Rest,-5.6
Lumpy Skin,1,432.1,33,AFS,39.2,Lumpy Skin,Antibiotics + Isolation,-14.4
Contagious,0,405.4,13,AFS,39.0,Contagious,Antibiotics + Isolation,-7.0
Contagious,2,437.1,31,AFS,39.8,None,Antibiotics + Isolation,-21.7
Contagious,1,393.9,20,AFS,39.4,None,Antibiotics + Isolation,-14.9
Dermatophilosis,0,374.1,29,AFS,38.9,None,Topical Treatment + Monitoring,-4.2
Healthy,0,452.5,93,AFS,38.3,Dermatophilosis,No Treatment Required,0.0
Contagious,1,372.1,71,AFS,39.8,None,Antibiotics + Isolation,-15.8
Dermatophilosis,0,474.9,67,AFS,38.9,None,Topical Treatment + Monitoring,-5.2
Pediculosis,2,525.5,29,AFS,41.3,None,Antiparasitic + Monitoring,-10.9
Dermatophilosis,0,511.6,29,AFS,39.0,FMD,Topical Treatment + Monitoring,-6.0
Contagious,2,429.7,40,AFS,41.0,None,Antibiotics + Isolation,-24.0
Healthy,0,540.8,67,AFS,38.7,None,No Treatment Required,0.0
Ringworm,0,548.4,65,AFS,38.6,None,Topical Treatment + Monitoring,-4.7
FMD,1,362.3,71,AFS,39.3,None,Antibiotics + Isolation,-13.5
Healthy,0,511.6,52,AFS,38.6,Lumpy Skin,No Treatment Required,0.0
Mastitis,0,409.5,28,AFS,38.7,Contagious,Anti-inflammatory + Rest,-4.6
Ringworm,0,477.0,30,AFS,38.7,None,Topical Treatment + Monitoring,-2.0
Contagious,2,458.9,48,AFS,40.1,None,Antibiotics + Isolation,-21.0
Ringworm,0,520.8,51,AFS,38.6,None,Topical Treatment + Monitoring,-1.7
Ringworm,2,513.9,34,AFS,41.5,None,Antifungal + Topical Care,-10.0
Dermatophilosis,0,428.7,89,AFS,38.7,None,Topical Treatment + Monitoring,-4.2
Dermatophilosis,0,450.7,81,AFS,38.8,None,Topical Treatment + Monitoring,-4.3
Pediculosis,1,367.5,29,AFS,39.2,None,Antiparasitic + Monitoring,-6.2
Lumpy Skin,2,540.7,37,AFS,41.0,Contagious,Antiviral + Quarantine,-21.6
FMD,2,378.2,66,AFS,41.2,None,Antiviral + Quarantine,-24.5
Ringworm,1,418.5,90,AFS,39.5,None,Topical Treatment + Monitoring,-8.2
Contagious,2,527.5,43,AFS,41.0,Pediculosis,Antibiotics + Isolation,-20.7
Lumpy Skin,0,477.1,21,AFS,38.6,None,Topical Treatment + Monitoring,-3.7
Mastitis,0,435.2,74,AFS,38.8,None,Anti-inflammatory + Rest,-4.3
Ringworm,1,422.5,38,AFS,39.6,None,Topical Treatment + Monitoring,-8.1
Dermatophilosis,0,372.0,82,AFS,38.7,None,Topical Treatment + Monitoring,-5.4
Ringworm,1,413.2,85,AFS,39.6,None,Topical Treatment + Monitoring,-9.7
Contagious,0,379.4,28,AFS,38.6,Lumpy Skin,Antibiotics + Isolation,-8.4
Healthy,0,374.6,20,AFS,38.5,None,No Treatment Required,0.0
Dermatophilosis,2,391.2,86,AFS,40.2,None,Antibiotics + Isolation,-18.9
Dermatophilosis,1,389.1,95,AFS,39.7,None,Antibiotics + Isolation,-12.5
Contagious,0,350.8,31,AFS,38.8,None,Antibiotics + Isolation,-9.8
Lumpy Skin,0,443.0,30,AFS,38.5,None,Topical Treatment + Monitoring,-4.2
Mastitis,2,439.0,64,AFS,40.1,Pediculosis,Antibiotics + Isolation,-19.8
Healthy,0,502.4,60,AFS,38.5,Dermatophilosis,No Treatment Required,0.0
Contagious,2,422.7,63,AFS,41.1,None,Antibiotics + Isolation,-22.6
Healthy,0,511.0,72,AFS,38.7,None,No Treatment Required,0.0
Contagious,1,484.8,69,AFS,39.5,None,Antibiotics + Isolation,-13.5
Healthy,0,387.3,89,AFS,38.6,None,No Treatment Required,0.0
Pediculosis,1,355.4,95,AFS,39.2,Ringworm,Antiparasitic + Monitoring,-7.1
FMD,1,511.1,60,AFS,39.7,None,Antibiotics + Isolation,-14.2
Ringworm,1,483.3,32,AFS,39.2,None,Topical Treatment + Monitoring,-9.8
Contagious,0,416.7,92,AFS,38.9,None,Antibiotics + Isolation,-9.4
FMD,2,448.5,51,AFS,41.1,Ringworm,Antiviral + Quarantine,-24.7
Dermatophilosis,2,453.1,88,AFS,41.3,None,Antibiotics + Isolation,-18.7
FMD,1,415.2,82,AFS,39.4,None,Antibiotics + Isolation,-16.2
Lumpy Skin,0,505.4,70,AFS,38.8,None,Topical Treatment + Monitoring,-3.7
Lumpy Skin,1,457.1,26,AFS,39.1,None,Antibiotics + Isolation,-14.9
Ringworm,0,461.9,83,AFS,39.0,Dermatophilosis,Topical Treatment + Monitoring,-3.8
Pediculosis,1,536.0,45,AFS,39.0,Dermatophilosis,Antiparasitic + Monitoring,-9.5
Mastitis,2,446.5,15,AFS,40.1,Dermatophilosis,Antibiotics + Isolation,-19.2
Contagious,2,495.5,13,AFS,40.0,Dermatophilosis,Antibiotics + Isolation,-23.3
Lumpy Skin,1,474.7,23,AFS,39.4,None,Antibiotics + Isolation,-15.7
Lumpy Skin,1,512.6,19,AFS,39.6,None,Antibiotics + Isolation,-15.0
Ringworm,1,405.4,32,AFS,39.1,None,Topical Treatment + Monitoring,-6.4
Pediculosis,1,415.6,49,AFS,39.7,Mastitis,Antiparasitic + Monitoring,-8.7
Dermatophilosis,2,352.4,28,AFS,40.9,None,Antibiotics + Isolation,-18.7
Ringworm,2,453.6,68,AFS,40.2,None,Antifungal + Topical Care,-10.3
Ringworm,1,441.4,87,AFS,39.2,None,Topical Treatment + Monitoring,-8.0
Healthy,0,425.6,37,AFS,38.5,FMD,No Treatment Required,0.0
Contagious,0,516.8,42,AFS,38.5,None,Antibiotics + Isolation,-6.6
Dermatophilosis,0,428.7,95,AFS,38.7,None,Topical Treatment + Monitoring,-4.7
Mastitis,0,473.4,41,AFS,38.7,None,Anti-inflammatory + Rest,-4.9
FMD,2,462.9,44,AFS,40.8,Dermatophilosis,Antiviral + Quarantine,-25.9
FMD,1,408.0,69,AFS,39.6,None,Antibiotics + Isolation,-15.7
Ringworm,1,372.7,29,AFS,39.7,None,Topical Treatment + Monitoring,-7.8
Lumpy Skin,0,394.1,69,AFS,38.8,None,Topical Treatment + Monitoring,-6.9
Healthy,0,456.6,87,AFS,38.3,Contagious,No Treatment Required,0.0
Dermatophilosis,2,419.2,34,AFS,40.8,FMD,Antibiotics + Isolation,-18.4
Lumpy Skin,1,388.4,63,AFS,39.5,None,Antibiotics + Isolation,-15.8
Dermatophilosis,1,484.0,39,AFS,39.5,None,Antibiotics + Isolation,-13.3
Lumpy Skin,0,391.8,37,AFS,39.0,Ringworm,Topical Treatment + Monitoring,-5.2
Lumpy Skin,0,546.9,51,AFS,38.6,Ringworm,Topical Treatment + Monitoring,-5.6
Pediculosis,1,463.1,64,AFS,39.3,None,Antiparasitic + Monitoring,-8.5
Ringworm,2,367.3,23,AFS,40.5,None,Antifungal + Topical Care,-9.5
FMD,0,537.1,88,AFS,38.7,None,Supportive Care Only,-3.7
FMD,2,405.1,44,AFS,40.2,None,Antiviral + Quarantine,-23.3
FMD,0,509.6,49,AFS,38.7,None,Supportive Care Only,-6.0
Dermatophilosis,0,546.6,29,AFS,38.5,None,Topical Treatment + Monitoring,-5.4
Dermatophilosis,2,436.9,72,AFS,41.2,Dermatophilosis,Antibiotics + Isolation,-17.8
Contagious,0,501.2,15,AFS,38.7,None,Antibiotics + Isolation,-9.0
Healthy,0,395.7,87,AFS,38.4,None,No Treatment Required,0.0
Contagious,0,421.0,46,AFS,38.8,Contagious,Antibiotics + Isolation,-9.9
Mastitis,1,433.9,60,AFS,39.2,None,Anti-inflammatory + Rest,-13.0
Contagious,1,482.3,42,AFS,39.6,None,Antibiotics + Isolation,-13.9
Pediculosis,2,493.5,91,AFS,40.7,Dermatophilosis,Antiparasitic + Monitoring,-12.2
Ringworm,1,427.2,47,AFS,39.6,Contagious,Topical Treatment + Monitoring,-6.5
Dermatophilosis,1,363.8,66,AFS,39.0,Dermatophilosis,Antibiotics + Isolation,-10.5
Dermatophilosis,2,461.5,90,AFS,41.2,None,Antibiotics + Isolation,-18.4
Contagious,1,521.6,41,AFS,39.5,None,Antibiotics + Isolation,-13.9
Healthy,0,506.0,55,AFS,38.4,None,No Treatment Required,0.0
Healthy,0,425.2,77,AFS,38.5,Ringworm,No Treatment Required,0.0
Dermatophilosis,0,360.5,21,AFS,38.6,None,Topical Treatment + Monitoring,-4.2
Lumpy Skin,0,494.1,89,AFS,38.6,None,Topical Treatment + Monitoring,-6.9
Lumpy Skin,0,387.8,63,AFS,38.8,None,Topical Treatment + Monitoring,-6.9
Healthy,0,462.4,24,AFS,38.7,Mastitis,No Treatment Required,0.0
Lumpy Skin,1,547.3,21,AFS,39.4,Pediculosis,Antibiotics + Isolation,-13.9
FMD,1,535.4,67,AFS,39.7,None,Antibiotics + Isolation,-14.8
Contagious,2,378.6,29,AFS,40.4,Ringworm,Antibiotics + Isolation,-20.7
Contagious,2,361.0,32,AFS,40.5,None,Antibiotics + Isolation,-21.1
Lumpy Skin,1,401.8,63,AFS,39.1,Mastitis,Antibiotics + Isolation,-15.1
Ringworm,2,417.0,88,AFS,40.4,FMD,Antifungal + Topical Care,-9.5
FMD,2,368.3,74,AFS,40.8,Pediculosis,Antiviral + Quarantine,-23.8
FMD,0,440.0,30,AFS,38.9,Ringworm,Supportive Care Only,-5.8
FMD,0,526.5,51,AFS,38.6,Ringworm,Supportive Care Only,-3.6
Healthy,0,519.0,40,AFS,38.4,None,No Treatment Required,0.0
Mastitis,0,368.1,94,AFS,38.8,None,Anti-inflammatory + Rest,-4.9
FMD,0,529.1,43,AFS,38.7,FMD,Supportive Care Only,-5.1
Lumpy Skin,1,509.3,87,AFS,39.6,None,Antibiotics + Isolation,-14.0
Dermatophilosis,0,351.8,73,AFS,38.6,None,Topical Treatment + Monitoring,-3.6
Ringworm,1,522.7,50,AFS,39.7,None,Topical Treatment + Monitoring,-8.2
Pediculosis,1,424.4,29,AFS,39.1,None,Antiparasitic + Monitoring,-7.7
Contagious,0,543.3,46,AFS,38.8,None,Antibiotics + Isolation,-7.2
Pediculosis,2,438.7,87,AFS,40.1,None,Antiparasitic + Monitoring,-12.9
Ringworm,1,360.3,79,AFS,39.7,None,Topical Treatment + Monitoring,-7.0
Pediculosis,1,414.1,61,AFS,39.0,FMD,Antiparasitic + Monitoring,-7.9
Dermatophilosis,1,465.3,28,AFS,39.2,Contagious,Antibiotics + Isolation,-11.1
Healthy,0,426.2,45,AFS,38.3,None,No Treatment Required,0.0
Dermatophilosis,0,429.1,26,AFS,38.5,Lumpy Skin,Topical Treatment + Monitoring,-5.2
FMD,2,485.4,62,AFS,39.9,None,Antiviral + Quarantine,-25.6
Pediculosis,0,525.5,21,AFS,38.6,None,Antiparasitic + Monitoring,-5.1
Lumpy Skin,1,351.5,88,AFS,39.3,None,Antibiotics + Isolation,-13.1
FMD,1,438.9,51,AFS,39.6,None,Antibiotics + Isolation,-15.9
Contagious,1,521.7,89,AFS,39.0,None,Antibiotics + Isolation,-15.3
Contagious,0,490.3,88,AFS,38.7,None,Antibiotics + Isolation,-7.2
Dermatophilosis,1,377.4,78,AFS,39.2,None,Antibiotics + Isolation,-11.1
Healthy,0,520.4,24,AFS,38.4,Contagious,No Treatment Required,0.0
Healthy,0,456.3,85,AFS,38.4,FMD,No Treatment Required,0.0
Ringworm,1,350.4,16,AFS,39.4,Dermatophilosis,Topical Treatment + Monitoring,-9.3
Dermatophilosis,1,453.7,83,AFS,39.0,None,Antibiotics + Isolation,-12.8
Mastitis,0,450.8,68,AFS,38.5,None,Anti-inflammatory + Rest,-5.8
Pediculosis,2,523.5,34,AFS,40.0,FMD,Antiparasitic + Monitoring,-10.8
Mastitis,1,437.7,83,AFS,39.5,None,Anti-inflammatory + Rest,-12.2
Pediculosis,0,514.7,48,AFS,38.7,None,Antiparasitic + Monitoring,-3.8
Dermatophilosis,1,549.8,27,AFS,39.1,None,Antibiotics + Isolation,-10.5
Mastitis,1,403.4,80,AFS,39.5,Mastitis,Anti-inflammatory + Rest,-10.7
Ringworm,1,413.1,38,AFS,39.2,None,Topical Treatment + Monitoring,-6.4
FMD,0,538.6,64,AFS,38.9,Dermatophilosis,Supportive Care Only,-6.5
Contagious,2,521.6,62,AFS,40.5,None,Antibiotics + Isolation,-20.8
Lumpy Skin,2,354.9,69,AFS,39.9,None,Antiviral + Quarantine,-23.4
Mastitis,2,363.1,86,AFS,41.0,Mastitis,Antibiotics + Isolation,-19.9
FMD,1,546.5,36,AFS,39.6,None,Antibiotics + Isolation,-16.1
Dermatophilosis,2,490.3,75,AFS,41.2,Mastitis,Antibiotics + Isolation,-18.1
Mastitis,2,478.2,87,AFS,40.5,Pediculosis,Antibiotics + Isolation,-20.6
Ringworm,0,445.6,72,AFS,38.9,Contagious,Topical Treatment + Monitoring,-3.8
Dermatophilosis,0,375.1,27,AFS,38.5,None,Topical Treatment + Monitoring,-3.5
Pediculosis,2,546.6,32,AFS,41.3,Dermatophilosis,Antiparasitic + Monitoring,-12.0
Mastitis,1,517.8,22,AFS,39.3,None,Anti-inflammatory + Rest,-11.3
Mastitis,0,532.2,74,AFS,38.5,Dermatophilosis,Anti-inflammatory + Rest,-5.9
Mastitis,1,418.5,20,AFS,39.1,FMD,Anti-inflammatory + Rest,-11.7
Ringworm,2,387.9,48,AFS,39.9,None,Antifungal + Topical Care,-8.6
Ringworm,1,371.9,42,AFS,39.7,None,Topical Treatment + Monitoring,-8.6
Pediculosis,2,543.3,40,AFS,41.0,None,Antiparasitic + Monitoring,-11.7
Pediculosis,1,528.6,53,AFS,39.3,None,Antiparasitic + Monitoring,-9.5
Contagious,1,473.9,85,AFS,39.4,None,Antibiotics + Isolation,-14.7
Mastitis,1,473.7,77,AFS,39.1,Contagious,Anti-inflammatory + Rest,-10.8
Mastitis,1,520.2,95,AFS,39.5,None,Anti-inflammatory + Rest,-10.2
Healthy,0,540.8,14,AFS,38.7,None,No Treatment Required,0.0
Mastitis,1,359.6,88,AFS,39.2,None,Anti-inflammatory + Rest,-11.0
Healthy,0,394.5,27,AFS,38.7,None,No Treatment Required,0.0
Pediculosis,0,486.7,22,AFS,38.9,None,Antiparasitic + Monitoring,-2.4
Lumpy Skin,1,546.8,93,AFS,39.8,Pediculosis,Antibiotics + Isolation,-16.8
Pediculosis,0,533.1,18,AFS,38.9,None,Antiparasitic + Monitoring,-2.2
Dermatophilosis,2,383.7,15,AFS,40.7,Contagious,Antibiotics + Isolation,-19.2
Lumpy Skin,0,387.7,41,AFS,38.5,None,Topical Treatment + Monitoring,-6.6
Dermatophilosis,1,371.4,62,AFS,39.1,None,Antibiotics + Isolation,-13.2
Lumpy Skin,1,367.4,63,AFS,39.7,None,Antibiotics + Isolation,-14.4
Mastitis,0,393.7,55,AFS,38.8,None,Anti-inflammatory + Rest,-7.8
Lumpy Skin,1,452.1,84,AFS,39.3,None,Antibiotics + Isolation,-16.3
Ringworm,1,546.0,69,AFS,39.5,None,Topical Treatment + Monitoring,-6.8
FMD,0,521.4,93,AFS,38.7,None,Supportive Care Only,-5.3
Pediculosis,0,464.7,43,AFS,39.0,None,Antiparasitic + Monitoring,-2.5
Contagious,1,444.8,29,AFS,39.2,Pediculosis,Antibiotics + Isolation,-13.5
Mastitis,0,413.1,53,AFS,38.5,None,Anti-inflammatory + Rest,-5.5
Contagious,0,529.6,86,AFS,38.8,None,Antibiotics + Isolation,-7.6
Ringworm,0,465.9,69,AFS,38.6,Lumpy Skin,Topical Treatment + Monitoring,-1.0
Mastitis,0,432.7,63,AFS,39.0,None,Anti-inflammatory + Rest,-4.8
Mastitis,2,418.9,43,AFS,41.0,None,Antibiotics + Isolation,-21.1
Lumpy Skin,2,425.7,41,AFS,40.0,None,Antiviral + Quarantine,-23.3
Healthy,0,433.2,24,AFS,38.8,None,No Treatment Required,0.0
Pediculosis,0,364.0,52,AFS,38.8,Dermatophilosis,Antiparasitic + Monitoring,-2.9
Ringworm,1,518.6,69,AFS,39.1,None,Topical Treatment + Monitoring,-6.1
